iter	MultiClassOneVsAll
0	0.5502293042
1	0.4687994717
2	0.4175311337
3	0.382821344
4	0.3571540348
5	0.3340015277
6	0.3189034804
7	0.307139487
8	0.2940598668
9	0.2843980676
10	0.2753869667
11	0.2677760225
12	0.2614995287
13	0.2537966289
14	0.2496727446
15	0.2458181549
16	0.2407462943
17	0.2375404057
18	0.234931786
19	0.2310545618
20	0.227669221
21	0.2241265976
22	0.222088347
23	0.2196849259
24	0.2170365808
25	0.2155213746
26	0.214279738
27	0.2131207448
28	0.2112021528
29	0.2098023801
30	0.208319315
31	0.2066638168
32	0.2055606003
33	0.2048739884
34	0.2036135348
35	0.2021041968
36	0.20154846
37	0.2010054877
38	0.1996019588
39	0.1984574325
40	0.1979626608
41	0.1971387246
42	0.1963631984
43	0.1955716257
44	0.1950301803
45	0.1940181541
46	0.1934090943
47	0.1930050793
48	0.1919729798
49	0.1916174426
50	0.1913859116
51	0.1911156284
52	0.190530638
53	0.190078369
54	0.1893279772
55	0.1885738524
56	0.188100241
57	0.1875543001
58	0.1872707534
59	0.1866934123
60	0.1865180493
61	0.1858594615
62	0.1855682985
63	0.1854673192
64	0.1850444413
65	0.1848681434
66	0.1846480176
67	0.1842938174
68	0.1840048592
69	0.1838307759
70	0.1835504908
71	0.1833618943
72	0.1831185884
73	0.1830150201
74	0.1829575719
75	0.1826992407
76	0.1823972277
77	0.182229636
78	0.1821238308
79	0.1820454985
80	0.181698479
81	0.1815086622
82	0.1813029887
83	0.1810741036
84	0.181037403
85	0.1809343838
86	0.1808677724
87	0.1808091367
88	0.1807313531
89	0.1806751342
90	0.1805677747
91	0.1805272709
92	0.1804477107
93	0.1803704663
94	0.1802892084
95	0.1801643397
96	0.1800969934
97	0.180006155
98	0.179748048
99	0.1796307204
100	0.179578127
101	0.1794271473
102	0.1792815773
103	0.1791037304
104	0.1790567214
105	0.1790025061
106	0.178911209
107	0.1788038754
108	0.1786320032
109	0.1783986638
110	0.1782613277
111	0.1782189342
112	0.178156181
113	0.1779252488
114	0.1778587664
115	0.1777779754
116	0.1775664726
117	0.1775129533
118	0.1774729536
119	0.1774526227
